CÓDIGO,CLIENTE,REDE,SUBREDE,LOGRADOURO,NUMERO,BAIRRO,CIDADE,ENDEREÇO,A00_LAT,A00_LONG
153,SUPER PORTUGAL - BRAGANCA,REDE PARCERIA,SUPER PORTUGAL,RUA BRAGANCA,874,GRANJA PORTUGAL,FORTALEZA,"RUA BRAGANCA, 874, GRANJA PORTUGAL, FORTALEZA",-3.7807845,-38.5966783
162,SUPER LAGOA - CD,SUPER LAGOA,,AVENIDA BERNARDO MANUEL,10970,PASSARE,FORTALEZA,"AVENIDA BERNARDO MANUEL, 10970, PASSARE, FORTALEZA",-3.81528198,-38.55661271
172,CENTERBOX - PRQ SAO JOSE,CENTERBOX,,RUA CONEGO DE CASTRO,3918,PARQUE SAO JOSE,FORTALEZA,"RUA CONEGO DE CASTRO, 3918, PARQUE SAO JOSE, FORTALEZA",-3.8003218,-38.5880765
181,SUPER CAUCAIA - LJ 01,,SUPERMERCADO BAHAMAS,RUA CORONEL CORREIA,1985,CENTRO,CAUCAIA,"RUA CORONEL CORREIA, 1985, CENTRO, CAUCAIA",-3.73546304,-38.65846975
182,CENTERBOX - PARQUELANDIA,CENTERBOX,,RUA PROF LINO ENCARNACAO,869,PARQUELANDIA,FORTALEZA,"RUA PROF LINO ENCARNACAO, 869, PARQUELANDIA, FORTALEZA",-3.7429477,-38.5599157
193,EXITO - MONTE CASTELO,REDE UNIFORCA,EXITO,RUA BARAO DO CRATO,1041,PRESIDENTE KENNEDY,FORTALEZA,"RUA BARAO DO CRATO, 1041, PRESIDENTE KENNEDY, FORTALEZA",-3.7211932,-38.5583364
196,CENTERBOX - PANAMERICANO,CENTERBOX,,AVENIDA JOSE BASTOS,4400,BELA VISTA,FORTALEZA,"AVENIDA JOSE BASTOS, 4400, BELA VISTA, FORTALEZA",-3.7548351,-38.5561623
212,CENTERBOX - MESSEJANA - LJ 01,CENTERBOX,,AVENIDA FREI CIRILO,4000,MESSEJANA,FORTALEZA,"AVENIDA FREI CIRILO, 4000, MESSEJANA, FORTALEZA",-3.8185168,-38.4971878
224,CENTERBOX - SANTOS DUMONT,CENTERBOX,,AVENIDA SANTOS DUMONT,6500,COCO,FORTALEZA,"AVENIDA SANTOS DUMONT, 6500, COCO, FORTALEZA",-3.7440842,-38.4749343
226,SUPER PARCEIRO,REDE EXATA,SUPER PARCEIRO,RUA TEBAS,415,SIQUEIRA,FORTALEZA,"RUA TEBAS, 415, SIQUEIRA, FORTALEZA",-3.8150002,-38.6211301
239,SUPER CAUCAIA - LJ 02,,SUPERMERCADO BAHAMAS,EDSON MOTA CORREIA,533,CENTRO,CAUCAIA,"EDSON MOTA CORREIA, 533, CENTRO, CAUCAIA",-3.7342526,-38.65836087
250,GROSSISTA CHIQUINHO,,,RUA PRINCESA DIANA,244,PAJUCARA,MARACANAU,"RUA PRINCESA DIANA, 244, PAJUCARA, MARACANAU",-3.8649743,-38.5787598
251,MERC PINHEIRO E CARNEIRO,REDE UNIFORCA,PINHEIRO E CARNEIRO,RUA SILVEIRA FILHO,1135,JOQUEI CLUBE,FORTALEZA,"RUA SILVEIRA FILHO, 1135, JOQUEI CLUBE, FORTALEZA",-3.7759137,-38.5788541
279,PONTO EDSON,,,RUA PAT DIONISIO JOSE DA SILVA,550,BOA VISTA,ITAPIPOCA,"RUA PAT DIONISIO JOSE DA SILVA, 550, BOA VISTA, ITAPIPOCA",-3.5051674,-39.5757556
284,SAO FRANCISCO - MATRIZ LJ 01,MAX REDE,SUPER SAO FRANCISCO,RUA MARTINS CARVALHO,861,BOM JARDIM,FORTALEZA,"RUA MARTINS CARVALHO, 861, BOM JARDIM, FORTALEZA",-3.7966519,-38.6007377
313,MECADINHO ROSINHA,,,RUA VICENTE SIEBRA,1779,VIOLETE,ITAPIPOCA,"RUA VICENTE SIEBRA, 1779, VIOLETE, ITAPIPOCA",-3.4910735,-39.5760693
315,MER ECONOMICO,,,RUA CORONEL LIBERALINO,1182,CENTRO,IPU,"RUA CORONEL LIBERALINO, 1182, CENTRO, IPU",-4.324707,-40.7101929
317,EXITO - PRQ POTIRA II,REDE UNIFORCA,EXITO,RUA TORREON,1983,PARQUE GUADALAJARA (JUREMA),CAUCAIA,"RUA TORREON, 1983, PARQUE GUADALAJARA (JUREMA), CAUCAIA",-3.7688869,-38.6231497
322,PINHEIRO - CD,PINHEIRO,,RUA DUARTE COELHO,55,PAUPINA,FORTALEZA,"RUA DUARTE COELHO, 55, PAUPINA, FORTALEZA",-3.8622118,-38.4959971
330,SUPERMERCADO ACONCHEMAX,REDE PARCERIA,,RUA ANTONIO COSTA MENDES,105,VILA PERI,FORTALEZA,"RUA ANTONIO COSTA MENDES, 105, VILA PERI, FORTALEZA",-3.7877298,-38.5815546
332,MERCADINHO GENIBAU,,,AVENIDA GENIBAU,268,HENRIQUE JORGE,FORTALEZA,"AVENIDA GENIBAU, 268, HENRIQUE JORGE, FORTALEZA",-3.7610646,-38.5979487
335,MERCANTIL DO POVO,,,RUA ROSA MISTICA,300,LAMEIRAO,MARANGUAPE,"RUA ROSA MISTICA, 300, LAMEIRAO, MARANGUAPE",-3.9120676,-38.6763751
337,COMETA (SIQUEIRA),COMETA,,AVENIDA GEN OSORIO DE PAIVA,2951,VILA PERI,FORTALEZA,"AVENIDA GEN OSORIO DE PAIVA, 2951, VILA PERI, FORTALEZA",-3.789045,-38.5864455
348,COMPREMAX - SGT HERMINIO,REDE PARCERIA,COMPRE MAX,AVENIDA SARGENTO HERMINIO SAMPAIO,4200,MONTE CASTELO,FORTALEZA,"AVENIDA SARGENTO HERMINIO SAMPAIO, 4200, MONTE CASTELO, FORTALEZA",-3.730491,-38.5771848
354,MERCADINHO NEGO,,,RUA CAMBURAO,SN,CAMBURAO,PARAIPABA,"RUA CAMBURAO, SN, CAMBURAO, PARAIPABA",-3.46359,-39.212641
355,SUPERMERCADO PAULO BELO - COQUEIRO,,SUPERMERCADO PAULO BELO,RUA JOSE DO PATROCINIO,1360,COQUEIRO,ITAPIPOCA,"RUA JOSE DO PATROCINIO, 1360, COQUEIRO, ITAPIPOCA",-3.4958784,-39.5776634
363,MERCADINHO CUSTODIO,,,VILA GUALDRAPAS,52,GUALDRAPAS,TRAIRI,"VILA GUALDRAPAS, 52, GUALDRAPAS, TRAIRI",-3.2792355,-39.2647428
368,SUPER PORTUGAL - TAUAPE,REDE PARCERIA,SUPER PORTUGAL,RUA MONSENHOR SALAZAR,928,SAO JOAO DO TAUAPE,FORTALEZA,"RUA MONSENHOR SALAZAR, 928, SAO JOAO DO TAUAPE, FORTALEZA",-3.7560405,-38.5114051
374,LINDERBOX SUPERMERCADO,REDE EXATA,,RUA TENENTE ROMA,206,ALTO BALANCA,FORTALEZA,"RUA TENENTE ROMA, 206, ALTO BALANCA, FORTALEZA",-3.7680525,-38.5155799
377,COMERCIAL FRANCA,,,RUA DO GRUPO,SN,MUNDAU,TRAIRI,"RUA DO GRUPO, SN, MUNDAU, TRAIRI",-3.1831997,-39.3765242
378,ALFREDO SUPERMERCADO,REDE EXATA,,RUA DAURA,587,BARROSO,FORTALEZA,"RUA DAURA, 587, BARROSO, FORTALEZA",-3.8227322,-38.5091962
384,MERCADINHO ESTRELA DO MAR,,,RUA DA PRAIA,SN,GUAJIRU,TRAIRI,"RUA DA PRAIA, SN, GUAJIRU, TRAIRI",-3.2377028,-39.2365616
414,PADARIA BOM PRINCIPIO,,,RUA FRANCISCO DUARTE,51,BOM PRINCIPIO,MORRINHOS,"RUA FRANCISCO DUARTE, 51, BOM PRINCIPIO, MORRINHOS",-3.2246364,-40.0817792
420,SUPERMERCADO PONTO DA ECONOMIA,REDE EXATA,,AVENIDA GOVERNADOR RAUL BARBOSA,7563,AEROLANDIA,FORTALEZA,"AVENIDA GOVERNADOR RAUL BARBOSA, 7563, AEROLANDIA, FORTALEZA",-3.7773375,-38.5130214
450,SUPERMERCADO ECONOMICO,REDE EXATA,,RUA TETE BEZERRA,666,CENTRO,PENTECOSTE,"RUA TETE BEZERRA, 666, CENTRO, PENTECOSTE",-3.7916726,-39.271997
455,SUPERMERCADO BISTECAO,REDE INTEGRADA,,AVENIDA SENADOR FERNANDES TÁVORA,992,HENRIQUE JORGE,FORTALEZA,"AVENIDA SENADOR FERNANDES TÁVORA, 992, HENRIQUE JORGE, FORTALEZA",-3.762106,-38.5819394
464,MERCANTIL MORROS,REDE EXATA,,RUA SENADOR ROBERT KENNEDY,209,BARRA DO CEARA,FORTALEZA,"RUA SENADOR ROBERT KENNEDY, 209, BARRA DO CEARA, FORTALEZA",-3.7018391,-38.5778354
465,CENTERBOX - CEL CARVALHO,CENTERBOX,,AVENIDA CEL CARVALHO,1261,BARRA DO CEARA,FORTALEZA,"AVENIDA CEL CARVALHO, 1261, BARRA DO CEARA, FORTALEZA",-3.7135362,-38.5885703
469,G L F ARAUJO,,,RUA CAPITAO MANOEL PINTO,104,ESMERINO GOMES,ITAPAJE,"RUA CAPITAO MANOEL PINTO, 104, ESMERINO GOMES, ITAPAJE",-3.6792308,-39.5853022
477,DOCE PAN,,,RUA JOSE PIRES CHAVES,100,NOVO ANGELIM,URUBURETAMA,"RUA JOSE PIRES CHAVES, 100, NOVO ANGELIM, URUBURETAMA",-3.6177716,-39.5020823
486,MERCADINHO SAMUCA,,,RUA FRANCISCO BATISTA VIEIRA,SN,ALTO DA COLINA,URUBURETAMA,"RUA FRANCISCO BATISTA VIEIRA, SN, ALTO DA COLINA, URUBURETAMA",-3.6270376,-39.509077
490,MERCADINHO O JOAO,,,RUA EVARISTO GOMES,236,BOA ESPERANCA,PARAIPABA,"RUA EVARISTO GOMES, 236, BOA ESPERANCA, PARAIPABA",-3.4352144,-39.1498036
493,SUPERMERCADO EBENEZER,,,RUA SAO FRANCISCO,SN,ALTO SAO FRANCISCO,TRAIRI,"RUA SAO FRANCISCO, SN, ALTO SAO FRANCISCO, TRAIRI",-3.2848244,-39.2650365
503,PANIFICADORA LETICIA,,,RUA EURICO MEDINA,337,HENRIQUE JORGE,FORTALEZA,"RUA EURICO MEDINA, 337, HENRIQUE JORGE, FORTALEZA",-3.7567723,-38.5849554
510,JOAREZ PATRICIO GOMES,,,PRACA DA MATRIZ,SN,CENTRO,TURURU,"PRACA DA MATRIZ, SN, CENTRO, TURURU",-3.5991025,-39.4362771
522,MERCADINHO DOCE LAR,,,AVENIDA MARIA MOREIRA,124,CENTRO,PARAIPABA,"AVENIDA MARIA MOREIRA, 124, CENTRO, PARAIPABA",-3.4371974,-39.1480241
535,ANALI - MARANGUAPE,REDE PARCERIA,ANALI,RODOVIA SENADOR ALMIR PINTO,2510,NOVO MARANGUAPE I,MARANGUAPE,"RODOVIA SENADOR ALMIR PINTO, 2510, NOVO MARANGUAPE I, MARANGUAPE",-3.8753904,-38.6706474
537,MERC SAO LUCAS,,,AVENIDA FRANCISCO RUBENS BRANDAO,584,CORRENTE,SAO BENEDITO,"AVENIDA FRANCISCO RUBENS BRANDAO, 584, CORRENTE, SAO BENEDITO",-4.0326691,-40.8635014
539,O BIBA,,,RUA JOSE FELIX,SN,CENTRO,GENERAL SAMPAIO,"RUA JOSE FELIX, SN, CENTRO, GENERAL SAMPAIO",-4.0495109,-39.4487859
546,MERCADINHO SALES,,,RODOVIA BR 403,SN,LAGOA DO CANEMA,ACARAU,"RODOVIA BR 403, SN, LAGOA DO CANEMA, ACARAU",-2.8979868,-40.1192039
548,COMETA (MATOS DOURADO),COMETA,,RUA CEL MATOS DOURADO,1280,DOM LUSTOSA,FORTALEZA,"RUA CEL MATOS DOURADO, 1280, DOM LUSTOSA, FORTALEZA",-3.7498338,-38.5846885
570,MERCADINH O LOURO,,,AVENIDA JUSCELINO KUBITSCHEK,SN,SAO PEDRO,PENTECOSTE,"AVENIDA JUSCELINO KUBITSCHEK, SN, SAO PEDRO, PENTECOSTE",-3.8128734,-39.26181
572,MERCADINHO TRES IRMAOS,,,RUA JOAQUIM TOME RODRIGUES,286,FLORES,AMONTADA,"RUA JOAQUIM TOME RODRIGUES, 286, FLORES, AMONTADA",-3.3683088,-39.8331828
591,MECARDINHO SAO FRANCISCO,,,RUA ERNITA PIRES CHAVES,148,ESTACAO,TURURU,"RUA ERNITA PIRES CHAVES, 148, ESTACAO, TURURU",-3.5922282,-39.4420594
595,MERCADINHO JALS,REDE INTEGRADA,MERCADINHO JALS,RUA 345,SN,NOVA METROPOLE,CAUCAIA,"RUA 345, SN, NOVA METROPOLE, CAUCAIA",-3.7691711,-38.6569162
600,PANIFICADO AGUIR MELO,,,RUA CONSTRUTOR GONCALO VIDAL,297,CENTRO,MUCAMBO,"RUA CONSTRUTOR GONCALO VIDAL, 297, CENTRO, MUCAMBO",-3.9039222,-40.7443889
604,MERCADINHO CABELUDO,,,RUA SAO JOAO BATISTA,72,NOVO ANGELIM,URUBURETAMA,"RUA SAO JOAO BATISTA, 72, NOVO ANGELIM, URUBURETAMA",-3.6135201,-39.5022871
611,SUPER PORTUGAL - MARAPONGA,REDE PARCERIA,SUPER PORTUGAL,RUA PRIMEIRO DE JANEIRO,955,PARANGABA,FORTALEZA,"RUA PRIMEIRO DE JANEIRO, 955, PARANGABA, FORTALEZA",-3.7842908,-38.5691114
620,SUPER PORTUGAL - VILA PERI,REDE PARCERIA,SUPER PORTUGAL,RUA MIRTES ROCHA,74,VILA PERI,FORTALEZA,"RUA MIRTES ROCHA, 74, VILA PERI, FORTALEZA",-3.7802372,-38.5784333
630,PARA TY - TRAIRI,REDE UNIFORCA,PARA TY,RUA MANOEL TEIXEIRA,153,CENTRO,TRAIRI,"RUA MANOEL TEIXEIRA, 153, CENTRO, TRAIRI",-3.2772701,-39.2668701
631,MIRELLY - PRQ SANTA ROSA,REDE PARCERIA,MIRELLY,RUA FRANCISCO ALMEIDA,552,PARQUE SANTA ROSA,FORTALEZA,"RUA FRANCISCO ALMEIDA, 552, PARQUE SANTA ROSA, FORTALEZA",-3.819396,-38.592429
646,ANALI - GRANJA LISBOA,REDE PARCERIA,ANALI,RUA SARGENTO JOAO PINHEIRO,1740,GRANJA LISBOA,FORTALEZA,"RUA SARGENTO JOAO PINHEIRO, 1740, GRANJA LISBOA, FORTALEZA",-3.7873709,-38.6241432
658,BRASILEIRO - RODOLFO TEOFILO,,BRASILEIRO,RUA MONSENHOR FURTADO,1000,RODOLFO TEOFILO,FORTALEZA,"RUA MONSENHOR FURTADO, 1000, RODOLFO TEOFILO, FORTALEZA",-3.7466444,-38.5504395
663,CENTERBOX - JOAO XXIII,CENTERBOX,,RUA CACILDA BECKER,270,JOAO XXIII,FORTALEZA,"RUA CACILDA BECKER, 270, JOAO XXIII, FORTALEZA",-3.77289,-38.5882422
669,MERCANTIL O DEIRTON,REDE CEARENSE,O DEIRTON,RUA PEDRO PEREIRA,316,CORDULINO MARQUES,ITAPAJE,"RUA PEDRO PEREIRA, 316, CORDULINO MARQUES, ITAPAJE",-3.6843148,-39.5820915
677,SUPER UCHOA - LJ 01,REDE UNIFORCA,SUPER UCHOA,RUA ANDRE CHAVES,612,JARDIM AMERICA,FORTALEZA,"RUA ANDRE CHAVES, 612, JARDIM AMERICA, FORTALEZA",-3.7541549,-38.5454548
678,MERCADINHO O BATISTA,,,RUA FRANCISCO TEIXEIRA BRAGA,62,CENTRO,ITAPAJE,"RUA FRANCISCO TEIXEIRA BRAGA, 62, CENTRO, ITAPAJE",-3.6932221,-39.6021314
694,MERCANTIL MENOR PRECO,,,RUA MANOEL LUIS DA ROCHA,87,CENTRO,ITAPAJE,"RUA MANOEL LUIS DA ROCHA, 87, CENTRO, ITAPAJE",-3.684041,-39.5844617
695,MERCANTIL O LEGAL,,,RUA 7 DE SETEMBRO,56,CENTRO,IRAUCUBA,"RUA 7 DE SETEMBRO, 56, CENTRO, IRAUCUBA",-3.7492998,-39.7840442
705,MERCADINHO DOIS IRMAOS,,,RUA MANOEL LUIS DA ROCHA,101,CENTRO,ITAPAJE,"RUA MANOEL LUIS DA ROCHA, 101, CENTRO, ITAPAJE",-3.6841104,-39.5846598
709,COMPREMAX - GODOFREDO,REDE PARCERIA,COMPRE MAX,AVENIDA GODOFREDO MACIEL,6395,PLANALTO AYRTON SENNA,FORTALEZA,"AVENIDA GODOFREDO MACIEL, 6395, PLANALTO AYRTON SENNA, FORTALEZA",-3.83265451,-38.58103395
713,TICO E NEUSA,,,RUA FRANCINE FERREIRA,173,MONTE CASTELO,ITAPAJE,"RUA FRANCINE FERREIRA, 173, MONTE CASTELO, ITAPAJE",-3.6899839,-39.5834389
715,EXITO - PRQ POTIRA III,REDE UNIFORCA,EXITO,RUA TORREON,245,PARQUE GUADALAJARA (JUREMA),CAUCAIA,"RUA TORREON, 245, PARQUE GUADALAJARA (JUREMA), CAUCAIA",-3.767533,-38.6248232
718,COMPREMAX - JUREMA,REDE PARCERIA,COMPRE MAX,AVENIDA DOM ALMEIDA LUSTOSA,3840,PARQUE ALBANO,CAUCAIA,"AVENIDA DOM ALMEIDA LUSTOSA, 3840, PARQUE ALBANO, CAUCAIA",-3.77334061,-38.62707738
719,EXITO - PRQ ALBANO,REDE UNIFORCA,EXITO,AVENIDA DOM ALMEIDA LUSTOSA,1780,PARQUE ALBANO,CAUCAIA,"AVENIDA DOM ALMEIDA LUSTOSA, 1780, PARQUE ALBANO, CAUCAIA",-3.7594355,-38.6163545
722,MERCADINHO BARATEIRO,,,RUA DO BARATEIRO 01,42,BARATEIRO,ITAPAJE,"RUA DO BARATEIRO 01, 42, BARATEIRO, ITAPAJE",-3.6927925,-39.6015367
729,LUCIO FAUSIO,,,AVENIDA PAULO BASTOS,749,CENTRO,IRAUCUBA,"AVENIDA PAULO BASTOS, 749, CENTRO, IRAUCUBA",-3.7464812,-39.7853882
737,MERCADINHO TADEU,,,RUA PADRE JOAO BATISTA PEREIRA,SN,MORADA NOVA,ACARAU,"RUA PADRE JOAO BATISTA PEREIRA, SN, MORADA NOVA, ACARAU",-2.9154134,-40.121356
740,SUPERMERCADO OPCAO,,,RUA FELIPE SAMPAIO,132,CENTRO,ITAPAJE,"RUA FELIPE SAMPAIO, 132, CENTRO, ITAPAJE",-3.6832266,-39.5857879
741,JOAO MARCIO,,,RUA ANGELICA VIEIRA,470,IRATINGA,ITAPAJE,"RUA ANGELICA VIEIRA, 470, IRATINGA, ITAPAJE",-3.73911734,-39.54297517
747,MERCEARIA GABRIELE,,,RUA VEREADOR JOSE TOMAZ FILHO,56,SAO MIGUEL,ITAPAJE,"RUA VEREADOR JOSE TOMAZ FILHO, 56, SAO MIGUEL, ITAPAJE",-3.7348307,-39.5449187
751,MERCADINHO CHICO CHAGA,,,RUA DEPUTADO RAIMUNDO VIEIRA FILHO,405,IRATINGA,ITAPAJE,"RUA DEPUTADO RAIMUNDO VIEIRA FILHO, 405, IRATINGA, ITAPAJE",-3.7359056,-39.5482539
757,MERCADINHO EVERALDO,,,RUA MARLIM DUTRA,602,CENTRO,IRAUCUBA,"RUA MARLIM DUTRA, 602, CENTRO, IRAUCUBA",-3.7458307,-39.7833989
760,MECADINHO SAO JOAO,,,RUA VITALINI PEIXE,36,CENTRO,ITAPAJE,"RUA VITALINI PEIXE, 36, CENTRO, ITAPAJE",-3.6874473,-39.5909024
761,ATAKAREJO ECONOMICO,,ECONOMICO,RUA VICENTE SIEBRA,3010,JULIO II,ITAPIPOCA,"RUA VICENTE SIEBRA, 3010, JULIO II, ITAPIPOCA",-3.4823318,-39.573865
762,R CENTER - PRQ SANTA ROSA,REDE UNIFORCA,R CENTER,RUA CONEGO DE CASTRO,5531,PARQUE SANTA ROSA,FORTALEZA,"RUA CONEGO DE CASTRO, 5531, PARQUE SANTA ROSA, FORTALEZA",-3.8119541,-38.5972122
763,VARIEDADES SUPERMERCADOS - LJ 01,REDE UNIFORCA,VARIEDADES SUPERMERCADO,AVENIDA NOVA METROPOLE LADO PAR,SN,NOVA METROPOLE,CAUCAIA,"AVENIDA NOVA METROPOLE LADO PAR, SN, NOVA METROPOLE, CAUCAIA",-3.7654576,-38.65276694
768,CHIQUINHO DO BAR,,,RUA DEPUTADO RAIMUNDO VIEIRA FILHO,SN,IRATINGA,ITAPAJE,"RUA DEPUTADO RAIMUNDO VIEIRA FILHO, SN, IRATINGA, ITAPAJE",-3.7361253,-39.5488848
770,SUPERMERCADO LUIZ MOTA,,,AVENIDA PAULO BASTOS,1070,CENTRO,IRAUCUBA,"AVENIDA PAULO BASTOS, 1070, CENTRO, IRAUCUBA",-3.746576,-39.782537
774,PARA TY - PENTECOSTE,REDE UNIFORCA,PARA TY,AVENIDA JOSE BORBA DE VASCONCELOS,97,CENTRO,PENTECOSTE,"AVENIDA JOSE BORBA DE VASCONCELOS, 97, CENTRO, PENTECOSTE",-3.7915416,-39.2712229
779,MERCANTIL NAYARA,MAX REDE,,AVENIDA PAULO BASTOS,1018,CENTRO,IRAUCUBA,"AVENIDA PAULO BASTOS, 1018, CENTRO, IRAUCUBA",-3.7466038,-39.7828943
780,MERC MOZART,,,RUA ELPIDIO MARQUES DA COSTA,SN,RODAGEM,MASSAPE,"RUA ELPIDIO MARQUES DA COSTA, SN, RODAGEM, MASSAPE",-3.5215607,-40.3481112
786,MERCANTIL CHARLES,,,RUA PEDRO DOMINGOS,399,CENTRO,IRAUCUBA,"RUA PEDRO DOMINGOS, 399, CENTRO, IRAUCUBA",-3.7463656,-39.7845348
792,MERCANTIL O DELEGADO,,,RUA 7 DE SETEMBRO,336,CENTRO,IRAUCUBA,"RUA 7 DE SETEMBRO, 336, CENTRO, IRAUCUBA",-3.7475743,-39.7827051
803,LAREDO - GENIBAU,,LAREDO,RUA PORTO DAS ROSAS,1150,GENIBAU,FORTALEZA,"RUA PORTO DAS ROSAS, 1150, GENIBAU, FORTALEZA",-3.7567884,-38.6017086
805,MERCADINHO O NENEM,,,RUA JOAO MARTINS TEIXEIRA,215,BARATEIRO,ITAPAJE,"RUA JOAO MARTINS TEIXEIRA, 215, BARATEIRO, ITAPAJE",-3.6927925,-39.6015367
811,SUPER UCHOA - LJ 02,REDE UNIFORCA,SUPER UCHOA,RUA JOAO SORONGO,310,JARDIM AMERICA,FORTALEZA,"RUA JOAO SORONGO, 310, JARDIM AMERICA, FORTALEZA",-3.7518653,-38.54238734
815,BENCAO DE DEUS - LUZARDO VIANA,,BENCAO DE DEUS,AVENIDA LUIZ PEREIRA LIMA,587,LUZARDO VIANA,MARACANAU,"AVENIDA LUIZ PEREIRA LIMA, 587, LUZARDO VIANA, MARACANAU",-3.8575733,-38.645753
820,MERCADINHO J TRES,,,AVENIDA GABRIEL AGUIAR FILHO,531,CENTRO,TEJUCUOCA,"AVENIDA GABRIEL AGUIAR FILHO, 531, CENTRO, TEJUCUOCA",-3.988391,-39.5788628
830,CANTINHO DAS FRUTAS - JACARECANGA,REDE UNIFORCA,CANTINHO DAS FRUTAS,AVENIDA PRESIDENTE CASTELO BRANCO,4763,JACARECANGA,FORTALEZA,"AVENIDA PRESIDENTE CASTELO BRANCO, 4763, JACARECANGA, FORTALEZA",-3.706271,-38.574687
832,MERCADINHO MONTEIRO,,,RUA NENEM BARROSO,350,CENTRO,TURURU,"RUA NENEM BARROSO, 350, CENTRO, TURURU",-3.5985341,-39.434252
834,SILVIA REGINA PINTO GOMES ME,,,RUA LUIS CARNEIRO DE AZEVEDO,41,CENTRO,APUIARES,"RUA LUIS CARNEIRO DE AZEVEDO, 41, CENTRO, APUIARES",-3.9482372,-39.4299494
835,MECANTIL O CHOCO ISMERINDO,,,RUA MARABA,7,ESMERINO GOMES,ITAPAJE,"RUA MARABA, 7, ESMERINO GOMES, ITAPAJE",-3.6759809,-39.5827503
838,COMETA (ANTONIO SALES),COMETA,,AVENIDA ANTONIO SALES,1800,DIONISIO TORRES,FORTALEZA,"AVENIDA ANTONIO SALES, 1800, DIONISIO TORRES, FORTALEZA",-3.7440036,-38.5080673
839,MERCANTIL O RN,,,RUA PEDRO DOMINGOS,345,CENTRO,IRAUCUBA,"RUA PEDRO DOMINGOS, 345, CENTRO, IRAUCUBA",-3.7467964,-39.7845656
840,CANTINHO DAS FRUTAS - PIRAMBU,REDE UNIFORCA,CANTINHO DAS FRUTAS,RUA DOM QUINTINO,323,PIRAMBU,FORTALEZA,"RUA DOM QUINTINO, 323, PIRAMBU, FORTALEZA",-3.7128686,-38.5486857
843,MERCANTIL O ERMINIO,,,RUA 25 DE JANEIRO,203,CENTRO,APUIARES,"RUA 25 DE JANEIRO, 203, CENTRO, APUIARES",-3.9473912,-39.4307199
859,MERCEARIA RAISSA (JOSE GOMES),,,FAZENDA CAMPINAS,115,FAZENDA CAMPINAS,IRAUCUBA,"FAZENDA CAMPINAS, 115, FAZENDA CAMPINAS, IRAUCUBA",-3.7475743,-39.7827051
861,VERONICA,,,AVENIDA GOMES DA SILVA,64,CENTRO,APUIARES,"AVENIDA GOMES DA SILVA, 64, CENTRO, APUIARES",-3.9447388,-39.4288093
